Publication Years	Record Count	% of 413,069
2020	19225	4.654
2021	18924	4.581
2019	17385	4.209
2018	16237	3.931
2016	15907	3.851
2017	15825	3.831
2015	14482	3.506
2013	13953	3.378
2014	13780	3.336
2012	12737	3.084
2011	12003	2.906
2010	11084	2.683
2009	10871	2.632
2008	10312	2.496
2007	9660	2.339
2003	9047	2.190
2000	9018	2.183
2006	8913	2.158
2002	8821	2.135
2001	8531	2.065
1998	8468	2.050
2004	8450	2.046
2005	8431	2.041
1997	7835	1.897
1995	7715	1.868
1996	7058	1.709
1994	7049	1.706
1999	6698	1.622
1993	6597	1.597
1989	5497	1.331
1992	5440	1.317
1991	5306	1.285
1990	5095	1.233
1988	3638	0.881
1981	3400	0.823
1984	3361	0.814
1986	3332	0.807
1987	3245	0.786
1983	3156	0.764
1979	3137	0.759
1985	3047	0.738
1978	3033	0.734
1976	2935	0.711
1982	2901	0.702
1980	2844	0.689
1975	2520	0.610
1977	2504	0.606
1968	2237	0.542
1971	2194	0.531
1974	2160	0.523
1973	2063	0.499
1972	1998	0.484
1967	1973	0.478
1970	1870	0.453
1969	1568	0.380
1966	1012	0.245
2022	823	0.199
1965	672	0.163
1962	611	0.148
1964	434	0.105
1961	336	0.081
1959	325	0.079
1963	280	0.068
1955	278	0.067
1960	275	0.067
1957	273	0.066
1956	268	0.065
1958	252	0.061
1953	233	0.056
1954	231	0.056
1952	203	0.049
1951	178	0.043
1950	124	0.030
1949	122	0.030
1948	113	0.027
1947	86	0.021
1945	75	0.018
1946	71	0.017
1938	54	0.013
1932	47	0.011
1934	37	0.009
1936	36	0.009
1925	33	0.008
1928	24	0.006
1922	23	0.006
1926	20	0.005
1923	17	0.004
1930	17	0.004
1921	15	0.004
1927	1	0.000
