Principle Component Analysis  (Abstract)
Timespan:1900-2022. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Measuring and simulating particulate organics in the atmosphere: problems and prospects","Turpin, BJ; Saxena, P; Andrews, E","","","","ATMOSPHERIC ENVIRONMENT","2000","2000","34","18","","","","2983","3013","","10.1016/S1352-2310(99)00501-4","","","738","32.09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","36","34","44","46","52","56","45","42","40","44","36","36","38","34","32","29","18","20","17","23","2"
"Singular vectors, metrics, and adaptive observations","Palmer, TN; Gelaro, R; Barkmeijer, J; Buizza, R","","","","JOURNAL OF THE ATMOSPHERIC SCIENCES","FEB 15 1998","1998","55","4","","","","633","653","","10.1175/1520-0469(1998)055<0633:SVMAAO>2.0.CO;2","","","358","14.32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","20","20","21","16","17","14","13","14","20","16","20","16","20","19","12","15","14","8","10","12","14","12","7","1"
"Experimental design for flux measurements: matching scales of observations and fluxes","Schmid, HP","","","","AGRICULTURAL AND FOREST METEOROLOGY","NOV 15 1997","1997","87","2-3","","","","179","200","","10.1016/S0168-1923(97)00011-7","","","283","10.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","8","7","12","6","11","18","26","6","24","16","17","11","13","12","19","8","13","9","12","10","5","11","0"
"A METHOD OF RELATING GENERAL-CIRCULATION MODEL SIMULATED CLIMATE TO THE OBSERVED LOCAL CLIMATE .1. SEASONAL STATISTICS","KARL, TR; WANG, WC; SCHLESINGER, ME; KNIGHT, RW; PORTMAN, D","","","","JOURNAL OF CLIMATE","OCT 1990","1990","3","10","","","","1053","1079","","10.1175/1520-0442(1990)003<1053:AMORGC>2.0.CO;2","","","242","7.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","7","2","14","5","11","11","18","9","16","9","5","5","8","5","6","5","10","9","10","7","14","8","9","6","5","9","2","3","4","1"
"Characterization of selected volatile organic compounds, polycyclic aromatic hydrocarbons and carbonyl compounds at a roadside monitoring station","Ho, KF; Lee, SC; Chiu, GMY","","","","ATMOSPHERIC ENVIRONMENT","JAN 2002","2002","36","1","","","","57","65","","10.1016/S1352-2310(01)00475-7","","","153","7.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","11","6","8","5","15","5","10","10","16","10","7","7","7","6","3","4","8","6","3"
"The parametrization of drag induced by stratified flow over anisotropic orography","Scinocca, JF; McFarlane, NA","","","","QUARTERLY JOURNAL OF THE ROYAL METEOROLOGICAL SOCIETY","JUL 2000","2000","126","568","C","","","2353","2393","","10.1002/qj.49712656802","","","142","6.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","8","6","3","4","4","10","5","7","7","6","9","3","10","6","8","14","10","6","12","0"
"A conceptual framework for predictability studies","Schneider, T; Griffies, SM","","","","JOURNAL OF CLIMATE","OCT 1999","1999","12","10","","","","3133","3155","","10.1175/1520-0442(1999)012<3133:ACFFPS>2.0.CO;2","","","131","5.46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","7","7","8","8","8","10","7","1","7","8","7","8","7","4","7","7","4","4","4","0"
"Sensitivity of CCN spectra on chemical and physical properties of aerosol: A case study from the Amazon Basin","Roberts, GC; Artaxo, P; Zhou, JC; Swietlicki, E; Andreae, MO","","","","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES","SEP-OCT 2002","2002","107","D20","","","","","","8070","10.1029/2001JD000583","","","128","6.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","5","10","11","10","10","11","15","8","3","5","6","4","4","5","6","3","2","1","0"
"How much influence does landscape-scale physiography have on air temperature in a mountain environment?","Dobrowski, Solomon Z.; Abatzoglou, John T.; Greenberg, Jonathan A.; Schladow, S. G.","","","","AGRICULTURAL AND FOREST METEOROLOGY","OCT 1 2009","2009","149","10","","","","1751","1758","","10.1016/j.agrformet.2009.06.006","","","112","8.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","6","9","7","13","11","11","6","13","18","12","0"
"Trend, seasonal and multivariate analysis study of total gaseous mercury data from the Canadian atmospheric mercury measurement network (CAMNet)","Temme, Christian; Blanchard, P.; Steffen, A.; Banic, C.; Beauchamp, S.; Poissant, L.; Tordon, R.; Wiens, B.","","","","ATMOSPHERIC ENVIRONMENT","AUG 2007","2007","41","26","","","","5423","5441","","10.1016/j.atmosenv.2007.02.021","","","94","5.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","13","7","4","10","17","5","5","7","3","6","3","6","2","0"
