anomaly detection  (Abstract)
Timespan:1900-2022. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"DROUGHTS OF THE LATE 1980S IN THE UNITED-STATES AS DERIVED FROM NOAA POLAR-ORBITING SATELLITE DATA","KOGAN, FN","","","","BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY","MAY 1995","1995","76","5","","","","655","668","","10.1175/1520-0477(1995)076<0655:DOTLIT>2.0.CO;2","","","394","14.07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","8","1","8","2","8","3","7","7","5","9","5","8","18","9","21","29","16","23","27","27","26","41","37","43","1"
"Marine surface temperature: Observed variations and data requirements","Parker, DE; Folland, CK; Jackson, M","","","","CLIMATIC CHANGE","DEC 1995","1995","31","2-4","","","","559","600","","10.1007/BF01095162","International Meeting of Experts on Long-Term Climate Monitoring by the Global Climate Observing System","JAN 09-11, 1995","280","10.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","9","12","20","27","37","28","34","25","12","15","3","11","4","8","1","2","2","3","5","3","2","5","2","5","2","0"
"The western Mediterranean oscillation and rainfall in the Iberian Peninsula","Martin-Vide, Javier; Lopez-Bustins, Joan-Albert","","","","INTERNATIONAL JOURNAL OF CLIMATOLOGY","SEP 2006","2006","26","11","","","","1455","1475","","10.1002/joc.1388","5th European Conference on Applied Climatology (ECAC)","2004","253","14.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","12","10","11","7","16","16","17","25","21","25","25","27","33","0"
"Real-time multivariate indices for the boreal summer intraseasonal oscillation over the Asian summer monsoon region","Lee, June-Yi; Wang, Bin; Wheeler, Matthew C.; Fu, Xiouhua; Waliser, Duane E.; Kang, In-Sik","","","","CLIMATE DYNAMICS","JAN 2013","2013","40","1-2","","","","493","509","","10.1007/s00382-012-1544-4","","","247","24.70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","7","17","18","25","40","51","47","36","2"
"A Vector Geometry-Based Eddy Detection Algorithm and Its Application to a High-Resolution Numerical Model Product and High-Frequency Radar Surface Velocities in the Southern California Bight","Nencioli, Francesco; Dong, Changming; Dickey, Tommy; Washburn, Libe; McWilliams, James C.","","","","JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY","MAR 2010","2010","27","3","","","","564","579","","10.1175/2009JTECHO725.1","","","240","18.46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","7","11","19","19","21","22","25","35","39","37","0"
"Spatial Variation and Trends in PDSI and SPI Indices and Their Relation to Streamflow in 10 Large Regions of China","Zhai, Jianqing; Su, Buda; Krysanova, Valentina; Vetter, Tobias; Gao, Chao; Jiang, Tong","","","","JOURNAL OF CLIMATE","FEB 2010","2010","23","3","","","","649","663","","10.1175/2009JCLI2968.1","","","232","17.85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","9","13","16","15","19","17","31","40","33","30","0"
"Combined satellite- and surface-based estimation of the intracloud-cloud-to-ground lightning ratio over the continental United States","Boccippio, DJ; Cummins, KL; Christian, HJ; Goodman, SJ","","","","MONTHLY WEATHER REVIEW","2001","2001","129","1","","","","108","122","","10.1175/1520-0493(2001)129<0108:CSASBE>2.0.CO;2","","","226","10.27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","11","5","10","7","13","6","9","14","12","7","15","11","21","15","11","11","12","10","16","0"
"Evaluation of the agreement between the first global remotely sensed soil moisture data with model and precipitation data","Wagner, W; Scipal, K; Pathe, C; Gerten, D; Lucht, W; Rudolf, B","","","","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES","OCT 10 2003","2003","108","D19","","","","","","4611","10.1029/2003JD003663","","","216","10.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9","9","17","17","10","12","16","16","15","12","10","14","17","13","11","7","10","0"
"Visualizing Multiple Measures of Forecast Quality","Roebber, Paul J.","","","","WEATHER AND FORECASTING","APR 2009","2009","24","2","","","","601","608","","10.1175/2008WAF2222159.1","","","207","14.79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","7","6","7","13","22","18","37","44","42","1"
"A climatological study of evapotranspiration and moisture stress across the continental United States based on thermal remote sensing: 2. Surface moisture climatology","Anderson, Martha C.; Norman, John M.; Mecikalski, John R.; Otkin, Jason A.; Kustas, William P.","","","","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES","JUN 9 2007","2007","112","D11","","","","","","D11112","10.1029/2006JD007507","","","174","10.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","4","8","11","10","10","10","10","16","15","15","16","15","23","3"
