k-mean  (Abstract)
Timespan:1900-2022. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Objective climatology of cyclones in the Mediterranean region","Trigo, IF; Davies, TD; Bigg, GR","","","","JOURNAL OF CLIMATE","JUN 1999","1999","12","6","","","","1685","1696","","10.1175/1520-0442(1999)012<1685:OCOCIT>2.0.CO;2","","","342","14.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","10","12","6","4","10","9","13","16","22","20","25","14","23","25","31","18","21","20","20","15","0"
"ON THE APPLICATION OF CLUSTER-ANALYSIS TO GROWING-SEASON PRECIPITATION DATA IN NORTH-AMERICA EAST OF THE ROCKIES","GONG, XF; RICHMAN, MB","","","","JOURNAL OF CLIMATE","APR 1995","1995","8","4","","","","897","931","","10.1175/1520-0442(1995)008<0897:OTAOCA>2.0.CO;2","","","249","8.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","5","13","4","9","5","3","10","5","7","6","9","10","10","16","11","4","17","17","15","17","9","13","10","15","2"
"Long-term variability of daily North Atlantic-European pressure patterns since 1850 classified by simulated annealing clustering","Philipp, A.; Della-Marta, P. M.; Jacobeit, J.; Fereday, D. R.; Jones, P. D.; Moberg, A.; Wanner, H.","","","","JOURNAL OF CLIMATE","AUG 17 2007","2007","20","16","","","","4065","4095","","10.1175/JCLI4175.1","","","169","10.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","8","26","10","20","16","18","16","11","9","10","9","3","6","0"
"Downscaling precipitation to river basin in India for IPCCSRES scenarios using support vector machine","Anandhi, Aavudai; Srinivas, V. V.; Nanjundiah, Ravi S.; Kumar, D. Nagesh","","","","INTERNATIONAL JOURNAL OF CLIMATOLOGY","MAR 2008","2008","28","3","","","","401","420","","10.1002/joc.1529","","","146","9.73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","5","9","9","11","16","17","18","11","11","16","8","10","1"
"Regional climate change in Portugal: Precipitation variability associated with large-scale atmospheric circulation","Corte-Real, J; Qian, BD; Xu, H","","","","INTERNATIONAL JOURNAL OF CLIMATOLOGY","MAY 1998","1998","18","6","","","","619","635","","10.1002/(SICI)1097-0088(199805)18:6<619::AID-JOC271>3.0.CO;2-T","","","145","5.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","6","12","5","7","9","8","7","7","8","2","5","6","8","5","6","13","6","4","4","5","5","4","0"
"Atmospheric circulation patterns related to heavy snowfall days in Andorra, Pyrenees","Esteban, P; Jones, PD; Martin-Vide, J; Mases, M","","","","INTERNATIONAL JOURNAL OF CLIMATOLOGY","MAR 15 2005","2005","25","3","","","","319","329","","10.1002/joc.1103","","","132","7.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","4","6","4","11","7","4","7","7","8","17","10","11","8","10","11","0"
"An intercomparison of computer-assisted circulation classification methods","Huth, R","","","","INTERNATIONAL JOURNAL OF CLIMATOLOGY","AUG 1996","1996","16","8","","","","893","922","","10.1002/(SICI)1097-0088(199608)16:8<893::AID-JOC51>3.0.CO;2-Q","","","121","4.48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","3","2","2","1","1","3","2","2","5","5","6","8","5","8","4","4","6","8","4","10","10","4","14","1"
"The Continuum of North Pacific Sea Level Pressure Patterns: Intraseasonal, Interannual, and Interdecadal Variability","Johnson, Nathaniel C.; Feldstein, Steven B.","","","","JOURNAL OF CLIMATE","FEB 2010","2010","23","4","","","","851","867","","10.1175/2009JCLI3099.1","","","117","9.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","5","7","12","13","10","18","9","11","11","12","0"
"Characterisation of single particles from in-port ship emissions","Healy, Robert M.; O'Connor, Ian P.; Hellebust, Stig; Allanic, Arnaud; Sodeau, John R.; Wenger, John C.","","","","ATMOSPHERIC ENVIRONMENT","DEC 2009","2009","43","40","","","","6408","6414","","10.1016/j.atmosenv.2009.07.039","","","115","8.21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","11","5","8","13","8","7","15","5","17","12","8","0"
"The use of trajectory cluster analysis to examine the long-range transport of secondary inorganic aerosol in the UK","Abdalmogith, SS; Harrison, RM","","","","ATMOSPHERIC ENVIRONMENT","NOV 2005","2005","39","35","","","","6686","6695","","10.1016/j.atmosenv.2005.07.059","","","111","6.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","8","6","5","8","3","14","12","4","17","8","5","5","2","6","5","0"
