linear regression  (Abstract)
Timespan:1900-2022. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Contrasting Eastern-Pacific and Central-Pacific Types of ENSO","Kao, Hsun-Ying; Yu, Jin-Yi","","","","JOURNAL OF CLIMATE","FEB 2009","2009","22","3","","","","615","632","","10.1175/2008JCLI2309.1","","","1030","73.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","22","45","62","83","89","84","81","101","118","129","108","98","2"
"Changes in Continental Freshwater Discharge from 1948 to 2004","Dai, Aiguo; Qian, Taotao; Trenberth, Kevin E.; Milliman, John D.","","","","JOURNAL OF CLIMATE","MAY 2009","2009","22","10","","","","2773","2792","","10.1175/2008JCLI2592.1","","","595","42.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","23","31","39","43","49","51","53","56","57","72","59","58","1"
"Comprehensive comparison of gap-filling techniques for eddy covariance net carbon fluxes","Moffat, Antje M.; Papale, Dario; Reichstein, Markus; Hollinger, David Y.; Richardson, Andrew D.; Barr, Alan G.; Beckstein, Clemens; Braswell, Bobby H.; Churkina, Galina; Desai, Ankur R.; Falge, Eva; Gove, Jeffrey H.; Heimann, Martin; Hui, Dafeng; Jarvis, Andrew J.; Kattge, Jens; Noormets, Asko; Stauch, Vanessa J.","","","","AGRICULTURAL AND FOREST METEOROLOGY","DEC 10 2007","2007","147","3-4","","","","209","232","","10.1016/j.agrformet.2007.08.011","","","568","35.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","20","42","33","34","55","45","42","46","49","44","38","48","50","3"
"Global atmospheric emission inventory of polycyclic aromatic hydrocarbons (PAHs) for 2004","Zhang, Yanxu; Tao, Shu","","","","ATMOSPHERIC ENVIRONMENT","FEB 2009","2009","43","4","","","","812","819","","10.1016/j.atmosenv.2008.10.050","","","562","40.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","14","23","31","29","49","38","54","60","70","55","63","65","7"
"Correlations between fine particulate matter (PM2.5) and meteorological variables in the United States: Implications for the sensitivity of PM2.5 to climate change","Tai, Amos P. K.; Mickley, Loretta J.; Jacob, Daniel J.","","","","ATMOSPHERIC ENVIRONMENT","OCT 2010","2010","44","32","","","","3976","3984","","10.1016/j.atmosenv.2010.06.060","","","557","42.85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","21","13","24","36","38","61","75","87","96","89","10"
"Calibrated probabilistic forecasting using ensemble model output statistics and minimum CRPS estimation","Gneiting, T; Raftery, AE; Westveld, AH; Goldman, T","","","","MONTHLY WEATHER REVIEW","MAY 2005","2005","133","5","","","","1098","1118","","10.1175/MWR2904.1","","","530","29.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","9","15","11","10","14","22","15","42","34","44","58","52","65","66","66","2"
"The analog method as a simple statistical downscaling technique: Comparison with more complicated methods","Zorita, E; von Storch, H","","","","JOURNAL OF CLIMATE","AUG 1999","1999","12","8","2","","","2474","2489","","10.1175/1520-0442(1999)012<2474:TAMAAS>2.0.CO;2","","","517","21.54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","10","12","17","13","21","19","19","19","14","22","30","26","41","31","24","34","32","28","38","36","29","0"
"THE EFFECT OF CLOUD TYPE ON EARTHS ENERGY-BALANCE - GLOBAL ANALYSIS","HARTMANN, DL; OCKERTBELL, ME; MICHELSEN, ML","","","","JOURNAL OF CLIMATE","NOV 1992","1992","5","11","","","","1281","1304","","10.1175/1520-0442(1992)005<1281:TEOCTO>2.0.CO;2","","","513","16.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","4","12","5","6","7","9","16","15","7","7","8","19","12","17","22","16","15","17","16","27","26","35","28","31","34","38","27","32","0"
"Analysis of incomplete climate data: Estimation of mean values and covariance matrices and imputation of missing values","Schneider, T","","","","JOURNAL OF CLIMATE","2001","2001","14","5","","","","853","871","","10.1175/1520-0442(2001)014<0853:AOICDE>2.0.CO;2","","","481","21.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","4","1","5","5","12","16","21","21","23","25","29","34","33","38","44","29","36","38","35","28","1"
"Multimodel ensemble forecasts for weather and seasonal climate","Krishnamurti, TN; Kishtawal, CM; Zhang, Z; LaRow, T; Bachiochi, D; Williford, E; Gadgil, S; Surendran, S","","","","JOURNAL OF CLIMATE","DEC 1 2000","2000","13","23","","","","4196","4216","","10.1175/1520-0442(2000)013<4196:MEFFWA>2.0.CO;2","","","467","20.30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","13","18","9","16","22","26","23","25","28","15","22","21","26","32","29","26","25","37","23","26","0"
"Resistant, robust and non-parametric techniques for the analysis of climate data: Theory and examples, including applications to historical radiosonde station data","Lanzante, JR","","","","INTERNATIONAL JOURNAL OF CLIMATOLOGY","NOV 1996","1996","16","11","","","","1197","1226","","10.1002/(SICI)1097-0088(199611)16:11<1197::AID-JOC89>3.0.CO;2-L","","","437","16.19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","8","9","14","10","2","13","14","21","22","21","24","19","21","20","19","23","20","20","32","27","19","22","29","1"
"Empirical-statistical downscaling and error correction of daily precipitation from regional climate models","Themessl, Matthias Jakob; Gobiet, Andreas; Leuprecht, Armin","","","","INTERNATIONAL JOURNAL OF CLIMATOLOGY","AUG 2011","2011","31","10","","","","1530","1544","","10.1002/joc.2168","","","411","34.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","24","25","47","26","46","40","55","59","44","35","1"
"Large-scale dynamical fields associated with convectively coupled equatorial waves","Wheeler, M; Kiladis, GN; Webster, PJ","","","","JOURNAL OF THE ATMOSPHERIC SCIENCES","MAR 1 2000","2000","57","5","","","","613","640","","10.1175/1520-0469(2000)057<0613:LSDFAW>2.0.CO;2","","","383","16.65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","8","12","11","15","12","25","28","29","23","28","19","28","22","10","13","15","13","14","21","16","14","0"
