logistic regression  (Abstract)
Timespan:1900-2022. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Spatial prediction models for landslide hazards: review, comparison and evaluation","Brenning, A","","","","NATURAL HAZARDS AND EARTH SYSTEM SCIENCES","2005","2005","5","6","","","","853","862","","10.5194/nhess-5-853-2005","","","364","20.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","9","7","14","21","23","16","25","24","34","38","25","49","38","32","2"
"Landslide susceptibility mapping using certainty factor, index of entropy and logistic regression models in GIS and their comparison at Mugling-Narayanghat road section in Nepal Himalaya","Devkota, Krishna Chandra; Regmi, Amar Deep; Pourghasemi, Hamid Reza; Yoshida, Kohki; Pradhan, Biswajeet; Ryu, In Chang; Dhital, Megh Raj; Althuwaynee, Omar F.","","","","NATURAL HAZARDS","JAN 2013","2013","65","1","","","","135","165","","10.1007/s11069-012-0347-6","","","361","36.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","23","23","40","44","44","67","60","50","4"
"Detection probability of trends in rare events: Theory and application to heavy precipitation in the Alpine region","Frei, C; Schar, C","","","","JOURNAL OF CLIMATE","2001","2001","14","7","","","","1568","1584","","10.1175/1520-0442(2001)014<1568:DPOTIR>2.0.CO;2","","","266","12.09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","7","9","9","15","17","17","11","14","11","15","16","20","13","17","18","13","13","12","9","6","0"
"Validation of a social vulnerability index in context to river-floods in Germany","Fekete, A.","","","","NATURAL HAZARDS AND EARTH SYSTEM SCIENCES","2009","2009","9","2","","","","393","403","","10.5194/nhess-9-393-2009","","","262","18.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","6","13","12","13","14","28","20","29","41","36","41","4"
"Probabilistic quantitative precipitation forecasting using Bayesian model averaging","Sloughter, J. McLean; Raftery, Adrian E.; Gneiting, Tilmann; Fraley, Chris","","","","MONTHLY WEATHER REVIEW","SEP 2007","2007","135","9","","","","3209","3220","","10.1175/MWR3441.1","","","245","15.31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","10","12","15","21","14","16","13","13","21","24","30","26","25","0"
"Landslide susceptibility mapping by binary logistic regression, analytical hierarchy process, and statistical index models and assessment of their performances","Pourghasemi, H. R.; Moradi, H. R.; Aghda, S. M. Fatemi","","","","NATURAL HAZARDS","OCT 2013","2013","69","1","","","","749","779","","10.1007/s11069-013-0728-5","","","222","22.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","16","32","29","30","42","36","31","1"
"Trends of heavy precipitation and wet and dry spells in Switzerland during the 20th century","Schmidli, J; Frei, C","","","","INTERNATIONAL JOURNAL OF CLIMATOLOGY","MAY 2005","2005","25","6","","","","753","771","","10.1002/joc.1179","","","220","12.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","9","9","15","24","17","21","14","18","15","19","10","8","8","11","14","0"
"Landslide susceptibility analysis in the Hoa Binh province of Vietnam using statistical index and logistic regression","Dieu Tien Bui; Lofman, Owe; Revhaug, Inge; Dick, Oystein","","","","NATURAL HAZARDS","DEC 2011","2011","59","3","","","","1413","1444","","10.1007/s11069-011-9844-2","","","216","18.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","7","8","16","29","28","17","46","27","32","2"
"Remote sensing and GIS-based landslide hazard analysis and cross-validation using multivariate logistic regression model on three test areas in Malaysia","Pradhan, Biswajeet","","","","ADVANCES IN SPACE RESEARCH","MAY 17 2010","2010","45","10","","","","1244","1256","","10.1016/j.asr.2010.01.006","","","210","16.15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","18","20","23","21","17","17","17","13","21","14","22","0"
"Probabilistic quantitative precipitation forecasts based on reforecast analogs: Theory and application","Hamill, Thomas M.; Whitaker, Jeffrey S.","","","","MONTHLY WEATHER REVIEW","NOV 2006","2006","134","11","","","","3209","3229","","10.1175/MWR3237.1","","","195","11.47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","11","5","6","13","12","7","10","19","12","21","18","21","17","21","0"
