neural networks  (Abstract)
Timespan:1900-2022. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"A layer-averaged relative humidity profile retrieval for microwave observations: design and results for the Megha-Tropiques payload","Sivira, R. G.; Brogniez, H.; Mallet, C.; Oussar, Y.","","","","ATMOSPHERIC MEASUREMENT TECHNIQUES","2015","2015","8","3","","","","1055","1071","","10.5194/amt-8-1055-2015","","","14","1.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","2","1","5","0","0"
"Performance of Using Cascade Forward Back Propagation Neural Networks for Estimating Rain Parameters with Rain Drop Size Distribution","Tengeleng, Siddi; Armand, Nzeukou","","","","ATMOSPHERE","JUN 2014","2014","5","2","","","","454","472","","10.3390/atmos5020454","","","14","1.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","3","4","0","2","2","0"
"Application of air quality combination forecasting to Bogota","Westerlund, Joakim; Urbain, Jean-Pierre; Bonilla, Jorge","","","","ATMOSPHERIC ENVIRONMENT","JUN 2014","2014","89","","","","","22","28","","10.1016/j.atmosenv.2014.02.015","","","14","1.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","2","2","1","5","1","0"
"Neural network based tomographic approach to detect earthquake-related ionospheric anomalies","Hirooka, S.; Hattori, K.; Nishihashi, M.; Takeda, T.","","","","NATURAL HAZARDS AND EARTH SYSTEM SCIENCES","2011","2011","11","8","","","","2341","2353","","10.5194/nhess-11-2341-2011","","","14","1.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","1","1","2","3","3","0"
"Prediction of SYM-H index during large storms by NARX neural network from IMF and solar wind data","Cai, L.; Ma, S. Y.; Zhou, Y. L.","","","","ANNALES GEOPHYSICAE","2010","2010","28","2","","","","381","393","","10.5194/angeo-28-381-2010","","","14","1.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","2","3","3","2","0","2","0"
"Neural modelling of the spatial distribution of air pollutants","Pfeiffer, H.; Baumbach, G.; Sarachaga-Ruiz, L.; Kleanthous, S.; Poulida, O.; Beyaz, E.","","","","ATMOSPHERIC ENVIRONMENT","JUN 2009","2009","43","20","","","","3289","3297","","10.1016/j.atmosenv.2008.05.073","","","14","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","1","1","3","1","0","2","3","0","0","0"
"The potential for improved boundary layer cloud optical depth retrievals from the multiple directions of MISR","Evans, K. Franklin; Marshak, Alexander; Varnai, Tamas","","","","JOURNAL OF THE ATMOSPHERIC SCIENCES","OCT 2008","2008","65","10","","","","3179","3196","","10.1175/2008JAS2627.1","","","14","0.93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","0","1","0","1","0","0","1","2","2","1","0","0"
"Application of SVM on satellite images to detect hotspots in Jharia coal field region of India","Gautam, R. S.; Singh, D.; Mittal, A.; Sajin, P.","","","","ADVANCES IN SPACE RESEARCH","2008","2008","41","11","","","","1784","1792","","10.1016/j.asr.2007.05.011","","","14","0.93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","3","2","2","1","0","1","0"
"Modelling of a medium-term dynamics in a shallow tidal sea, based on combined physical and neural network methods","Herman, Agnieszka; Kaiser, Ralf; Niemeyer, Hanz D.","","","","OCEAN MODELLING","2007","2007","17","4","","","","277","299","","10.1016/j.ocemod.2007.02.004","","","14","0.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","1","1","0","4","0","0","1","0","0","2","0"
"Prediction of D-st variations from Polar Cap indices using time-delay neural network","Stepanova, M; Antonova, E; Troshichev, O","","","","JOURNAL OF ATMOSPHERIC AND SOLAR-TERRESTRIAL PHYSICS","DEC 2005","2005","67","17-18","","","","1658","1664","","10.1016/j.jastp.2005.02.027","7th Latin-American Conference on Space Geophysics","MAR 29-APR 02, 2004","14","0.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","3","1","2","1","0","4","0"
