support vector machine  (Abstract)
Timespan:1900-2022. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Spatial prediction models for landslide hazards: review, comparison and evaluation","Brenning, A","","","","NATURAL HAZARDS AND EARTH SYSTEM SCIENCES","2005","2005","5","6","","","","853","862","","10.5194/nhess-5-853-2005","","","364","20.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","9","7","14","21","23","16","25","24","34","38","25","49","38","32","2"
"Selection of classification techniques for land use/land cover change investigation","Srivastava, Prashant K.; Han, Dawei; Rico-Ramirez, Miguel A.; Bray, Michaela; Islam, Tanvir","","","","ADVANCES IN SPACE RESEARCH","NOV 1 2012","2012","50","9","","","","1250","1265","","10.1016/j.asr.2012.06.032","","","189","17.18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","10","18","21","21","14","21","21","34","25","3"
"Assessment of the effects of training data selection on the landslide susceptibility mapping: a comparison between support vector machine (SVM), logistic regression (LR) and artificial neural networks (ANN)","Kalantar, Bahareh; Pradhan, Biswajeet; Naghibi, Seyed Amir; Motevalli, Alireza; Mansor, Shattri","","","","GEOMATICS NATURAL HAZARDS & RISK","2018","2018","9","1","","","","49","69","","10.1080/19475705.2017.1407368","","","177","35.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","33","57","71","2"
"Landslide susceptibility assesssment in the Uttarakhand area (India) using GIS: a comparison study of prediction capability of na < ve bayes, multilayer perceptron neural networks, and functional trees methods","Binh Thai Pham; Dieu Tien Bui; Pourghasemi, Hamid Reza; Indra, Prakash; Dholakia, M. B.","","","","THEORETICAL AND APPLIED CLIMATOLOGY","APR 2017","2017","128","1-2","","","","255","273","","10.1007/s00704-015-1702-9","","","173","28.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","13","27","51","44","31","1"
"Drought forecasting in eastern Australia using multivariate adaptive regression spline, least square support vector machine and M5Tree model","Deo, Ravinesh C.; Kisi, Ozgur; Singh, Vijay P.","","","","ATMOSPHERIC RESEARCH","FEB 1 2017","2017","184","","","","","149","175","","10.1016/j.atmosres.2016.10.004","","","159","26.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","30","30","39","45","2"
"Downscaling precipitation to river basin in India for IPCCSRES scenarios using support vector machine","Anandhi, Aavudai; Srinivas, V. V.; Nanjundiah, Ravi S.; Kumar, D. Nagesh","","","","INTERNATIONAL JOURNAL OF CLIMATOLOGY","MAR 2008","2008","28","3","","","","401","420","","10.1002/joc.1529","","","146","9.73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","5","9","9","11","16","17","18","11","11","16","8","10","1"
"Mapping the extent of abandoned farmland in Central and Eastern Europe using MODIS time series satellite data","Alcantara, Camilo; Kuemmerle, Tobias; Baumann, Matthias; Bragina, Eugenia V.; Griffiths, Patrick; Hostert, Patrick; Knorn, Jan; Mueller, Daniel; Prishchepov, Alexander V.; Schierhorn, Florian; Sieber, Anika; Radeloff, Volker C.","","","","ENVIRONMENTAL RESEARCH LETTERS","JUL-SEP 2013","2013","8","3","","","","","","035035","10.1088/1748-9326/8/3/035035","","","141","14.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","11","14","9","31","18","25","29","2"
"Effects of institutional changes on land use: agricultural land abandonment during the transition from state-command to market-driven economies in post-Soviet Eastern Europe","Prishchepov, Alexander V.; Radeloff, Volker C.; Baumann, Matthias; Kuemmerle, Tobias; Mueller, Daniel","","","","ENVIRONMENTAL RESEARCH LETTERS","APR-JUN 2012","2012","7","2","","","","","","024021","10.1088/1748-9326/7/2/024021","","","141","12.82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","12","8","9","19","11","19","16","18","28","0"
"Evaluation of SVM, ELM and four tree-based ensemble models for predicting daily reference evapotranspiration using limited meteorological data in different climates of China","Fan, Junliang; Yue, Wenjun; Wu, Lifeng; Zhang, Fucang; Cai, Huanjie; Wang, Xiukang; Lu, Xianghui; Xiang, Youzhen","","","","AGRICULTURAL AND FOREST METEOROLOGY","DEC 15 2018","2018","263","","","","","225","241","","10.1016/j.agrformet.2018.08.019","","","139","27.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","23","45","67","3"
"A hybrid artificial intelligence approach using GIS-based neural-fuzzy inference system and particle swarm optimization for forest fire susceptibility modeling at a tropical area","Dieu Tien Bui; Quang-Thanh Bui; Quoc-Phi Nguyen; Pradhan, Biswajeet; Nampak, Haleh; Phan Trong Trinh","","","","AGRICULTURAL AND FOREST METEOROLOGY","FEB 15 2017","2017","233","","","","","32","44","","10.1016/j.agrformet.2016.11.002","","","137","22.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","23","38","32","38","0"
