hail  (Abstract)
Timespan:1900-2022. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"A baseline climatology of sounding-derived supercell and tornado forecast parameters","Rasmussen, EN; Blanchard, DO","","","","WEATHER AND FORECASTING","DEC 1998","1998","13","4","","","","1148","1164","","10.1175/1520-0434(1998)013<1148:ABCOSD>2.0.CO;2","","","477","19.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","5","26","12","5","8","15","19","16","23","14","23","24","25","28","23","39","31","32","23","43","36","1"
"NEW RAMS CLOUD MICROPHYSICS PARAMETERIZATION .1. THE SINGLE-MOMENT SCHEME","WALKO, RL; COTTON, WR; MEYERS, MP; HARRINGTON, JY","","","","ATMOSPHERIC RESEARCH","SEP 1995","1995","38","1-4","","","","29","62","","10.1016/0169-8095(94)00087-T","","","461","16.46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","14","11","27","18","13","24","16","26","23","17","21","19","27","29","17","23","23","25","18","14","15","17","7","12","0"
"A DOUBLE-MOMENT MULTIPLE-PHASE 4-CLASS BULK ICE SCHEME .1. DESCRIPTION","FERRIER, BS","","","","JOURNAL OF THE ATMOSPHERIC SCIENCES","JAN 15 1994","1994","51","2","","","","249","280","","","","","390","13.45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","4","7","6","9","8","8","5","9","16","12","12","21","19","20","22","17","19","23","22","20","23","20","31","20","11","0"
"An optical disdrometer for measuring size and velocity of hydrometeors","Loffler-Mang, M; Joss, J","","","","JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY","FEB 2000","2000","17","2","","","","130","139","","10.1175/1520-0426(2000)017<0130:AODFMS>2.0.CO;2","","","363","15.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","2","3","3","5","2","6","5","13","11","17","17","29","23","33","28","32","39","49","42","0"
"The generation of monthly gridded datasets for a range of climatic variables over the UK","Perry, M; Hollis, D","","","","INTERNATIONAL JOURNAL OF CLIMATOLOGY","JUN 30 2005","2005","25","8","","","","1041","1054","","10.1002/joc.1161","","","356","19.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","11","14","13","33","23","21","34","26","36","30","32","27","20","17","15","1"
"New RAMS cloud microphysics parameterization .2. The two-moment scheme","Meyers, MP; Walko, RL; Harrington, JY; Cotton, WR","","","","ATMOSPHERIC RESEARCH","AUG 1997","1997","45","1","","","","3","39","","10.1016/S0169-8095(97)00018-5","","","356","13.69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","5","4","4","7","13","15","20","15","20","21","29","25","19","20","21","19","15","21","19","17","12","12","0"
"The spatial distribution of severe thunderstorm and tornado environments from global reanalysis data","Brooks, HE; Lee, JW; Craven, JP","","","","ATMOSPHERIC RESEARCH","JUL-SEP 2003","2003","67-8","","","","SI","73","94","","10.1016/S0169-8095(03)00045-0","European Conference on Severe Storms 2002","AUG 26-30, 2002","334","16.70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","11","5","12","6","11","11","23","22","28","31","36","23","29","39","42","0"
"Temporal fluctuations in weather and climate extremes that cause economic and human health impacts: A review","Kunkel, KE; Pielke, RA; Changnon, SA","","","","BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY","JUN 1999","1999","80","6","","","","1077","1098","","10.1175/1520-0477(1999)080<1077:TFIWAC>2.0.CO;2","","","333","13.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","11","14","14","5","8","13","15","12","10","11","15","18","15","22","11","10","10","25","18","37","19","19","0"
"Simulation of effects of atmospheric aerosols on deep turbulent convective clouds using a spectral microphysics mixed-phase cumulus cloud model. Part I: Model description and possible applications","Khain, A; Pokrovsky, A; Pinsky, M; Seifert, A; Phillips, V","","","","JOURNAL OF THE ATMOSPHERIC SCIENCES","DEC 2004","2004","61","24","","","","2963","2982","","10.1175/JAS-3350.1","","","285","15.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","8","12","14","15","16","22","23","10","19","18","20","20","14","25","22","20","0"
"Sensitivity of a Simulated Squall Line to Horizontal Resolution and Parameterization of Microphysics","Bryan, George H.; Morrison, Hugh","","","","MONTHLY WEATHER REVIEW","JAN 2012","2012","140","1","","","","202","225","","10.1175/MWR-D-11-00046.1","","","271","24.64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","24","27","30","30","33","23","30","35","29","0"
