hurricane  (Abstract) OR tropical cyclone  (Abstract)
Timespan:1900-2022. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Analysis of the October 2014 subtropical cyclone using the WRF and the HARMONIE-AROME numerical models: Assessment against observations","Quitian-Hernandez, L.; Bolgiani, P.; Santos-Munoz, D.; Sastre, M.; Diaz-Fernandez, J.; Gonzalez-Aleman, J. J.; Farran, J., I; Lopez, L.; Valero, F.; Martin, M. L.","","","","ATMOSPHERIC RESEARCH","OCT 1 2021","2021","260","","","","","","","105697","10.1016/j.atmosres.2021.105697","","","1","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Disaster management and the need for a reinstated social contract of shared responsibility","Crosweller, Mark; Tschakert, Petra","","","","INTERNATIONAL JOURNAL OF DISASTER RISK REDUCTION","SEP 2021","2021","63","","","","","","","102440","10.1016/j.ijdrr.2021.102440","","","1","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Investigating the potential of a global precipitation forecast to inform landslide prediction","Khan, S.; Kirschbaum, D. B.; Stanley, T.","","","","WEATHER AND CLIMATE EXTREMES","SEP 2021","2021","33","","","","","","","100364","10.1016/j.wace.2021.100364","","","1","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Estimating tropical cyclone surface winds: Current status, emerging technologies, historical evolution, and a look to the future","Knaff, John A.; Sampson, Charles R.; Kucas, Matthew E.; Slocum, Christopher J.; Brennan, Michael J.; Meissner, Thomas; Ricciardulli, Lucrezia; Mouche, Alexis; Reul, Nicolas; Morris, Mary; Chirokova, Galina; Caroff, Philippe","","","","TROPICAL CYCLONE RESEARCH AND REVIEW","SEP 2021","2021","10","3","","","","125","150","","10.1016/j.tcrr.2021.09.002","","","1","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Verification of forecasts for extreme rainfall, tropical cyclones, flood and storm surge over Myanmar and the Philippines","MacLeod, David; Easton-Calabria, Evan; Perez, Erin Coughlan de; Jaime, Catalina","","","","WEATHER AND CLIMATE EXTREMES","SEP 2021","2021","33","","","","","","","100325","10.1016/j.wace.2021.100325","","","1","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"An analysis of social media use and neighbor-assisted debris removal in Houston following Hurricane Harvey","Page-Tan, Courtney","","","","INTERNATIONAL JOURNAL OF DISASTER RISK REDUCTION","SEP 2021","2021","63","","","","","","","102450","10.1016/j.ijdrr.2021.102450","","","1","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Observation and modeling of Hurricane Maria for damage assessment","Pokhrel, Rabindra; del Cos, Salvador; Rincon, Juan Pablo Montoya; Glenn, Equisha; Gonzalez, Jorge E.","","","","WEATHER AND CLIMATE EXTREMES","SEP 2021","2021","33","","","","","","","100331","10.1016/j.wace.2021.100331","","","1","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Rapid eco-physical impact assessment of tropical cyclones using geospatial technology: a case from severe cyclonic storms Amphan","Mishra, Manoranjan; Kar, Dipika; Debnath, Manasi; Sahu, Netrananda; Goswami, Shreerup","","","","NATURAL HAZARDS","","2021","","","","","","","","","10.1007/s11069-021-05008-w","","","1","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Marine heatwaves in the Mozambique Channel","Mawren, D.; Hermes, J.; Reason, C. J. C.","","","","CLIMATE DYNAMICS","","2021","","","","","","","","","10.1007/s00382-021-05909-3","","","1","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"An analysis of storm Ophelia which struck Ireland on 16 October 2017","Moore, Paul","","","","WEATHER","SEP 2021","2021","76","9","","","SI","301","306","","10.1002/wea.3978","","","1","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Comparative Review and Assessment of Various Flood Retrofit Methods for Low-Rise Residential Buildings in Coastal Areas","Amini, Mehrshad; Memari, Ali M.","","","","NATURAL HAZARDS REVIEW","AUG 1 2021","2021","22","3","","","","","","04021009","10.1061/(ASCE)NH.1527-6996.0000464","","","1","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"A Global Tropical Survey of Midtropospheric Cyclones","Kushwaha, Pradeep; Sukhatme, Jai; Nanjundiah, Ravi","","","","MONTHLY WEATHER REVIEW","AUG 2021","2021","149","8","","","","2737","2753","","10.1175/MWR-D-20-0222.1","","","1","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Climate change and temporal-spatial variation of tropical storm-related Natechs in the United States from 1990 to 2017: Is there a link?","Luo, Xiaolong; Cruz, Ana Maria; Tzioutzios, Dimitrios","","","","INTERNATIONAL JOURNAL OF DISASTER RISK REDUCTION","AUG 2021","2021","62","","","","","","","102366","10.1016/j.ijdrr.2021.102366","","","1","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Upper-level trajectories in the prototype problem for tropical cyclone intensification","Wang, Shanghong; Smith, Roger K.","","","","QUARTERLY JOURNAL OF THE ROYAL METEOROLOGICAL SOCIETY","JUL 2021","2021","147","738","","","","2978","2987","","10.1002/qj.4110","","","1","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Impact of TROPICS Radiances on Tropical Cyclone Prediction in an OSSE","Christophersen, Hui W.; Dahl, Brittany A.; Dunion, Jason P.; Rogers, Robert F.; Marks, Frank D.; Atlas, Robert; Blackwell, William J.","","","","MONTHLY WEATHER REVIEW","JUL 2021","2021","149","7","","","","2279","2298","","10.1175/MWR-D-20-0339.1","","","1","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Heavier Inner-Core Rainfall of Major Hurricanes in the North Atlantic Basin Than in Other Global Basins","Guzman, Oscar; Jiang, Haiyan","","","","JOURNAL OF CLIMATE","JUL 2021","2021","34","14","","","","5707","5721","","10.1175/JCLI-D-20-0668.1","","","1","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Improving the Analysis and Forecast of Hurricane Dorian (2019) with Simultaneous Assimilation of GOES-16 All-Sky Infrared Brightness Temperatures and Tail Doppler Radar Radial Velocities","Hartman, Christopher M.; Chen, Xingchao; Clothiaux, Eugene E.; Chan, Man-Yau","","","","MONTHLY WEATHER REVIEW","JUL 2021","2021","149","7","","","","2193","2212","","10.1175/MWR-D-20-0338.1","","","1","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
