tornado  (Abstract)
Timespan:1900-2022. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"A new vertical diffusion package with an explicit treatment of entrainment processes","Hong, Song-You; Noh, Yign; Dudhia, Jimy","","","","MONTHLY WEATHER REVIEW","SEP 2006","2006","134","9","","","","2318","2341","","10.1175/MWR3199.1","","","3780","222.35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","6","25","49","85","109","157","208","228","299","347","349","401","484","505","503","22"
"The Advanced Regional Prediction System (ARPS) - A multi-scale nonhydrostatic atmospheric simulation and prediction model. Part I: Model dynamics and verification","Xue, M; Droegemeier, KK; Wong, V","","","","METEOROLOGY AND ATMOSPHERIC PHYSICS","2000","2000","75","3-4","","","","161","193","","10.1007/s007030070003","","","652","28.35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","24","21","21","30","44","49","50","33","43","33","36","43","34","30","37","32","19","27","27","14","1"
"The Advanced Regional Prediction System (ARPS) - A multi-scale nonhydrostatic atmospheric simulation and prediction tool. part II: Model physics and applications","Xue, M; Droegemeier, KK; Wong, V; Shapiro, A; Brewster, K; Carr, F; Weber, D; Liu, Y; Wang, D","","","","METEOROLOGY AND ATMOSPHERIC PHYSICS","2001","2001","76","3-4","","","","143","165","","10.1007/s007030170027","","","500","22.73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","11","11","16","19","33","38","38","30","39","33","24","42","31","23","24","26","13","20","16","11","1"
"A baseline climatology of sounding-derived supercell and tornado forecast parameters","Rasmussen, EN; Blanchard, DO","","","","WEATHER AND FORECASTING","DEC 1998","1998","13","4","","","","1148","1164","","10.1175/1520-0434(1998)013<1148:ABCOSD>2.0.CO;2","","","477","19.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","5","26","12","5","8","15","19","16","23","14","23","24","25","28","23","39","31","32","23","43","36","1"
"MADDEN-JULIAN OSCILLATION Bridging Weather and Climate","Zhang, Chidong","","","","BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY","DEC 2013","2013","94","12","","","","1849","1870","","10.1175/BAMS-D-12-00026.1","","","412","41.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","16","39","41","60","51","65","76","61","2"
"Close proximity soundings within supercell environments obtained from the rapid update cycle","Thompson, RL; Edwards, R; Hart, JA; Elmore, KL; Markowski, P","","","","WEATHER AND FORECASTING","DEC 2003","2003","18","6","","","","1243","1261","","10.1175/1520-0434(2003)018<1243:CPSWSE>2.0.CO;2","","","401","20.05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","7","13","11","13","19","14","16","21","19","28","29","28","35","35","30","46","34","1"
"The spatial distribution of severe thunderstorm and tornado environments from global reanalysis data","Brooks, HE; Lee, JW; Craven, JP","","","","ATMOSPHERIC RESEARCH","JUL-SEP 2003","2003","67-8","","","","SI","73","94","","10.1016/S0169-8095(03)00045-0","European Conference on Severe Storms 2002","AUG 26-30, 2002","334","16.70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","11","5","12","6","11","11","23","22","28","31","36","23","29","39","42","0"
"Temporal fluctuations in weather and climate extremes that cause economic and human health impacts: A review","Kunkel, KE; Pielke, RA; Changnon, SA","","","","BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY","JUN 1999","1999","80","6","","","","1077","1098","","10.1175/1520-0477(1999)080<1077:TFIWAC>2.0.CO;2","","","333","13.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","11","14","14","5","8","13","15","12","10","11","15","18","15","22","11","10","10","25","18","37","19","19","0"
"The Advanced Regional Prediction System (ARPS), storm-scale numerical weather prediction and data assimilation","Xue, M; Wang, DH; Gao, JD; Brewster, K; Droegemeier, KK","","","","METEOROLOGY AND ATMOSPHERIC PHYSICS","2003","2003","82","1-4","","","","139","170","","10.1007/s00703-001-0595-6","4th SRNWP Workshop on Nonhydrostatic Modelling","SEP, 2001","310","15.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","8","22","14","15","16","17","20","22","34","19","14","24","20","6","18","17","15","0"
"Sensitivity of a Simulated Squall Line to Horizontal Resolution and Parameterization of Microphysics","Bryan, George H.; Morrison, Hugh","","","","MONTHLY WEATHER REVIEW","JAN 2012","2012","140","1","","","","202","225","","10.1175/MWR-D-11-00046.1","","","271","24.64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","24","27","30","30","33","23","30","35","29","0"
